title,likes,comments,views,release_date,description,length,filepath
Anime de Japan - On The Precipice Of Defeat (Bleach OST),21282,293.0,1176055,20220422,"Bleach OST - On The Precipice Of Defeat

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing On The Precipice Of Defeat (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/CSRtTJ",177,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - On The Precipice Of Defeat (Bleach OST).wav
Anime de Japan - Comical World (Bleach OST),1452,31.0,157943,20220419,"Bleach OST - Comical World

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Comical World (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/yg7dUX",101,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Comical World (Bleach OST).wav
Anime de Japan - Oh So Tired (Bleach OST),684,71.0,129635,20220422,"Bleach OST - Oh So Tired

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Oh So Tired (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/8gGrz2",98,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Oh So Tired (Bleach OST).wav
Anime de Japan - Head In The Clouds (Bleach OST),846,17.0,128209,20220419,"Bleach OST - Head In The Clouds

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Head In The Clouds (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/c2yWDn",101,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Head In The Clouds (Bleach OST).wav
Anime de Japan - Ditty For Daddy (Bleach OST),1110,50.0,144562,20220419,"Bleach OST - Ditty For Daddy

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Ditty For Daddy (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/dheMvq",146,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Ditty For Daddy (Bleach OST).wav
Anime de Japan - Creeping Shadows (Bleach OST),3222,65.0,197764,20220419,"Bleach OST - Creeping Shadows

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Creeping Shadows (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/klv4yE",142,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Creeping Shadows (Bleach OST).wav
Anime de Japan - Raw Breath Of Danger (Bleach OST),1435,23.0,122196,20220429,"Bleach OST - Raw Breath Of Danger

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Raw Breath Of Danger (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/D1wIcZ",137,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Raw Breath Of Danger (Bleach OST).wav
Anime de Japan - Enemy Unseen (Bleach OST),1366,20.0,136530,20220419,"Bleach OST - Enemy Unseen

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Enemy Unseen (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/e6lZNz",125,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Enemy Unseen (Bleach OST).wav
Anime de Japan - Will Of The Heart (Bleach OST),3034,31.0,188264,20220429,"Bleach OST - Will Of The Heart

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Will Of The Heart (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/vhcYoQ",228,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Will Of The Heart (Bleach OST).wav
Anime de Japan - Requiem For The Lost Ones (Bleach OST),2050,46.0,148977,20220429,"Bleach OST - Requiem For The Lost Ones

► Subscribe to Anime de Japan on YouTube: 
 https://youtube.com/c/AnimedeJapan?sub_confirmation=1

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music:
► Apple Music: https://music.apple.com/us/artist/anime-de-japan/1586939097
► Spotify: https://open.spotify.com/artist/2HjW6TFt6CF4pS4u4gL9mi
► Amazon: https://music.amazon.de/artists/B00AD6R1QC/anime-de-japan
► Tidal: https://tidal.com/browse/artist/4793814
► Anghami: https://play.anghami.com/artist/927304
► Deezer: https://www.deezer.com/en/artist/4121528
► Soundcloud: https://soundcloud.com/animejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Follow Anime De Japan:
► Facebook: https://www.facebook.com/animedejapan
► Instagram: https://www.instagram.com/animedejapan/
► TikTok: https://www.tiktok.com/@animedejapan
► Twitter: https://twitter.com/AnimeDeJapan
► Twitch: https://www.twitch.tv/animedejapan

💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢💢

Music video by Anime de Japan performing Requiem For The Lost Ones (Bleach OST). ©℗ 2022 Anime De Japan, under exclusive license to Anime De Japan LLC

http://vevo.ly/3YDTrR",136,/content/gdrive/MyDrive/Bleach-OST/soundtrack/Anime de Japan - Requiem For The Lost Ones (Bleach OST).wav
